O
O=O
P(=O)(O[C@H]1[C@@H](O[C@@H]([C@H]1O)COP(=O)(OP(=O)(OC[C@H]1O[C@@H](N2C=C(CC=C2)C(=O)N)[C@H](O)[C@@H]1O)O)O)n1c2ncnc(N)c2nc1)(O)O
P(=O)(O[C@H]1[C@@H](O[C@@H]([C@H]1O)COP(=O)(OP(=O)(OC[C@H]1O[C@@H]([n+]2cc(ccc2)C(=O)N)[C@H](O)[C@@H]1O)O)O)n1c2ncnc(N)c2nc1)(O)O
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(OC[C@H]1O[C@@H](N2C=C(CC=C2)C(=O)N)[C@H](O)[C@@H]1O)O)O
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(OC[C@H]1O[C@@H]([n+]2cc(ccc2)C(=O)N)[C@H](O)[C@@H]1O)O)O
P(=O)(OP(=O)(OP(=O)(O)O)O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)O
O=C=O
P(=O)(O)(O)O
[S+](C[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(CC[C@H](N)C(=O)[O-])C
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(OP(=O)(O)O)O
SCCNC(=O)CCNC(=O)[C@H](O)C(COP(=O)(OP(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1OP(=O)(O)O)O)O)(C)C
P(=O)(OP(=O)(O)O)(O)O
S(C[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)CC[C@H](N)C(=O)O
N
P(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]c(=O)cc2)[C@H](O)[C@@H]1O)(OP(=O)(O)O)O
P(=O)(OC[C@H]1O[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@@H]1O)(O)O
