Canonical_SMILES,Dry,Hyd,Titan,ECMDB,PubChem,Molecular_Weight,HBA,HBD,ROTB,LogD
CC12CNCC1CCO2,1,1,0,0,0,127.18422,2,1,0,-1.391
CC12CCCC1NCO2,1,0,0,0,0,127.18422,2,1,0,-0.582
CC12CCNC1CCO2,1,1,0,0,0,127.18422,2,1,0,-1.55
CC12NCCC1CCO2,1,1,0,0,0,127.18422,2,1,0,-1.197
CCC12CNC(C1)OC2,1,0,0,0,0,127.18422,2,1,1,-0.859
