Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,KMD
119,362.132625,6.1566,1022960.74,361.7283,362,272
120,388.148283,5.9811,1031197.09,387.7149,388,285
121,240.059462,0.883,1666569.39,239.7914,240,209
122,254.07511,2.1971,1562649.07,253.7914,254,209
123,268.090763,5.0143,1463076.34,267.7914,268,209
124,282.106412,5.8428,1372225.04,281.7914,282,209
125,310.137706,2.682,1226261.72,309.7914,310,209
126,324.153351,1.4479,1119042.64,323.7914,324,209
127,338.169002,0.6374,1119946.92,337.7914,338,209
128,248.100934,5.7715,1597118.66,247.8239,248,176
129,294.070025,0.9153,1302594.4,293.7417,294,258
130,308.085671,2.646,1251386.31,307.7417,308,258
131,322.10132,4.8399,1181684.55,321.7417,322,258
132,336.116964,5.6695,1119745.93,335.7417,336,258
133,364.148272,3.974,1004097.88,363.7417,364,258
134,378.163931,2.4378,1001975.9,377.7417,378,258
135,392.179587,1.3262,977262.76,391.7417,392,258
136,406.19524,0.7888,997369.51,405.7417,406,258
137,298.086065,3.729,1294431.09,297.7532,298,247
138,312.101713,5.6318,1231274.26,311.7532,312,247
139,330.070013,0.502,1136330.76,329.7015,330,298
140,344.085662,1.1521,1031270.36,343.7015,344,298
141,358.101319,2.6072,1036362.73,357.7015,358,298
142,372.116979,4.6543,1013990.85,371.7015,372,298
143,386.132637,5.5868,1021670.6,385.7015,386,298
144,400.148287,5.607,1015375.21,399.7015,400,298
145,428.179593,3.9008,975368.28,427.7015,428,298
146,442.195252,2.1024,956312.45,441.7015,442,298
147,456.210894,1.262,899470.96,455.7015,456,298
148,470.226548,0.5815,873523.75,469.7015,470,298
149,350.132616,5.4914,1064957.28,349.7417,350,258
150,414.163944,5.4572,1005510.09,413.7015,414,298
151,282.070024,0.9638,1351749.69,281.7551,282,245
152,296.085674,3.3596,1300765.9,295.7551,296,245
153,310.101321,5.3786,1245217.36,309.7551,310,245
154,338.132614,3.718,1106150.75,337.7551,338,245
155,352.148266,2.5963,1045317.64,351.7551,352,245
156,366.16393,1.6093,1032937.56,365.7551,366,245
157,380.179586,0.8099,987885.54,379.7551,380,245
158,322.137704,5.1379,1193906.49,321.778,322,222
159,356.085667,0.6328,1027082.35,355.6881,356,312
160,370.101327,1.8462,986657.88,369.6881,370,312
161,384.116984,3.0812,1012589.94,383.6881,384,312
162,398.132642,3.7904,1023660.92,397.6881,398,312
163,412.148289,5.0957,997372.67,411.6881,412,312
164,440.179596,3.2962,953312.83,439.6881,440,312
165,454.195244,2.4521,919292.19,453.6881,454,312
166,468.210902,1.2989,900037.16,467.6881,468,312
167,482.226562,0.7164,878436.54,481.6881,482,312
168,496.242239,0.3611,870183.82,495.6882,496,312
169,244.069633,0.8374,1580387.74,243.7971,244,203
170,258.085281,2.115,1533869.58,257.7971,258,203
171,272.100933,3.5851,1424145.63,271.7971,272,203
172,286.116583,5.0461,1358494.74,285.7971,286,203
173,314.147876,2.6584,1239607.88,313.7971,314,203
174,328.163523,1.2571,1146965.23,327.7971,328,203
175,342.179168,0.4865,1033641.53,341.7971,342,203
176,324.116967,5.0253,1173742.01,323.7551,324,245
177,360.080604,0.42,1087010.33,359.6786,360,321
178,374.096239,1.3115,1027615.15,373.6785,374,321
179,388.111902,2.4361,1002316.13,387.6786,388,321
180,402.127561,3.7383,1014318.92,401.6786,402,321
181,416.143205,4.995,1004022.3,415.6786,416,321
182,444.174512,3.6769,947042.14,443.6786,444,321
183,458.190155,2.7559,895448.28,457.6786,458,321
184,472.205815,1.7205,876852.29,471.6786,472,321
185,486.221469,1.0119,885317.68,485.6786,486,321
186,500.237145,0.5816,857976.96,499.6786,500,321
187,430.158859,4.9855,972227.94,429.6786,430,321
188,384.153369,4.8396,1035650.57,383.7244,384,276
189,348.080578,0.7369,1085481.91,347.6919,348,308
190,362.096235,1.6273,995249.99,361.6919,362,308
191,376.111892,2.8438,1016290.27,375.6919,376,308
192,390.127545,3.6789,1023407.49,389.6919,390,308
193,404.143198,4.8289,1015772.12,403.692,404,308
194,432.174517,3.3026,961299.38,431.692,432,308
195,446.190169,2.121,946350.15,445.692,446,308
196,460.205809,1.3625,904044.36,459.692,460,308
197,474.221483,0.6483,892928.87,473.692,474,308
198,210.048912,0.8011,1967021.57,209.8144,210,186
199,224.064554,1.9287,1777766.32,223.8144,224,186
200,238.080201,4.6144,1685406.27,237.8144,238,186
201,266.111498,3.7424,1469550.9,265.8144,266,186
202,280.127146,3.1074,1391818.06,279.8144,280,186
203,294.142797,2.0345,1327563.01,293.8144,294,186
204,308.158441,1.0537,1258613.84,307.8144,308,186
205,426.163944,4.5726,975355.18,425.6881,426,312
206,418.158857,4.5462,986034.34,417.692,418,308
207,306.142793,4.4806,1266440.41,305.801,306,199
208,180.038364,0.8742,2150112.46,179.8373,180,163
209,194.054006,2.1314,2064508.76,193.8373,194,163
210,208.069649,3.9599,1949555.11,207.8373,208,163
211,222.085293,4.4268,1832913.8,221.8373,222,163
212,250.116583,2.5773,1599968.86,249.8373,250,163
213,264.132233,1.5303,1472886.71,263.8373,264,163
214,278.147883,0.9313,1411427.36,277.8373,278,163
215,292.16353,0.4926,1364494.88,291.8373,292,163
216,386.096251,0.771,1030529.48,385.6652,386,335
217,400.111907,1.755,1006820.72,399.6652,400,335
218,414.127561,3.2931,984354.19,413.6652,414,335
219,428.143204,4.3739,973490.9,427.6652,428,335
220,456.174514,4.0373,909804.53,455.6652,456,335
221,470.19017,2.93,883281.89,469.6652,470,335
222,484.205818,2.1572,845880.82,483.6652,484,335
223,498.221499,1.2126,854051.95,497.6652,498,335
224,512.237116,0.7786,794625.43,511.6652,512,335
225,526.252803,0.3373,813355.26,525.6652,526,335
226,252.095847,4.3552,1578748.28,251.8144,252,186
227,218.053994,0.4613,1897568.07,217.8105,218,189
228,232.069637,1.6063,1764608.26,231.8105,232,189
229,246.085283,3.2801,1614497.89,245.8105,246,189
230,260.100931,4.2971,1510992.43,259.8105,260,189
231,274.116583,4.3066,1419449.04,273.8105,274,189
232,302.14788,2.3324,1263605.61,301.8105,302,189
233,316.163528,1.2032,1189465.62,315.8105,316,189
234,328.096621,2.5624,1137546.28,327.7303,328,270
235,342.112266,4.1564,1059771.29,341.7303,342,270
236,442.158866,4.1512,948926.1,441.6652,442,335
237,398.096257,0.4471,1044908.78,397.6518,398,348
238,412.111907,1.2688,979308.55,411.6518,412,348
239,426.127563,2.4674,976253.26,425.6518,426,348
240,440.143211,2.9779,939703.46,439.6518,440,348
241,454.158858,3.9502,915154.39,453.6518,454,348
242,482.190165,3.0845,862543.52,481.6518,482,348
243,496.205833,2.1481,842231.77,495.6518,496,348
244,510.221476,1.5828,818648.05,509.6518,510,348
245,524.237137,0.8392,811990.4,523.6518,524,348
246,538.25279,0.4539,750812.62,537.6518,538,348
247,236.100936,3.8744,1700797,235.8373,236,163
248,296.122058,3.852,1296903.29,295.7914,296,209
249,266.151252,3.846,1446720.87,265.8541,266,146
250,300.13223,3.8188,1283603.88,299.7971,300,203
251,192.059486,3.7805,2102230.89,191.845,192,155
252,358.10719,1.2307,1032845.16,357.7073,358,293
253,372.122839,3.7687,965187.14,371.7073,372,293
254,280.075497,1.0304,1333901.07,279.7628,280,237
255,294.091154,3.7459,1313975.86,293.7628,294,237
256,322.122445,0.7978,1198140.29,321.7628,322,237
257,336.138089,0.4772,1120315.1,335.7628,336,237
258,336.080571,0.6739,1201568.35,335.7053,336,295
259,350.096234,1.8474,1051104.68,349.7053,350,295
260,364.11189,2.8823,1005287.01,363.7053,364,295
261,378.127543,3.7009,1008900.9,377.7053,378,295
262,406.158853,3.6949,997938.65,405.7054,406,295
263,420.174507,2.7046,981842.57,419.7054,420,295
264,434.190159,1.68,982552.09,433.7054,434,295
265,448.205819,0.8958,917250.52,447.7054,448,295
266,462.221463,0.4339,944323.2,461.7054,462,295
267,288.132233,3.6884,1331981.19,287.8105,288,189
268,382.101334,0.8598,1001417.15,381.6747,382,325
269,396.116985,1.4574,997713.38,395.6747,396,325
270,410.132638,2.8729,1002492.47,409.6747,410,325
