Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,KMD
1073,378.108971,0.9039,1018003.55,377.6868,378,313
1074,338.147879,0.9021,1104790.19,337.7703,338,230
1075,500.185503,0.901,860863.91,499.627,500,373
1076,432.143997,0.8983,932658.62,431.6615,432,338
1077,378.112278,0.5448,1088575.75,377.6901,378,310
1078,392.12793,0.5793,942947.99,391.6901,392,310
1079,406.143588,0.8976,931385.35,405.6901,406,310
1080,434.174909,0.5492,913401.79,433.6901,434,310
1081,244.090762,0.8945,1626893.84,243.8182,244,182
1082,526.201149,0.8922,760204.13,525.6136,526,386
1083,278.096236,0.8919,1341768.65,277.7857,278,214
1084,916.447355,0.8916,87123.64,915.4241,916,-424
1085,556.022646,0.6588,749375.04,555.4018,556,-402
1086,570.038318,0.8913,767387.9,569.4018,570,-402
1087,598.069594,0.3291,686102.5,597.4018,598,-402
1088,550.164768,0.3592,734464.6,549.5505,550,449
1089,564.180409,0.6011,690903.28,563.5505,564,449
1090,578.196063,0.7366,704144.71,577.5505,578,449
1091,592.211735,0.8903,654953.61,591.5505,592,449
1092,620.242966,0.5033,661527.71,619.5504,620,450
1093,634.258682,0.3898,709803.96,633.5505,634,449
1094,612.18039,0.3699,708757.72,611.4969,612,-497
1095,626.196086,0.5309,660283.05,625.4969,626,-497
1096,640.211724,0.6569,653828.77,639.4969,640,-497
1097,654.22739,0.7789,662137.66,653.4969,654,-497
1098,668.243086,0.7999,621880.56,667.497,668,-497
1099,682.258705,0.8882,648939.46,681.4969,682,-497
1100,710.289964,0.4603,558121.06,709.4969,710,-497
1101,724.305683,0.3153,628578.24,723.497,724,-497
1102,602.17498,0.3259,699119.07,601.5026,602,497
1103,616.190614,0.4228,695410.56,615.5026,616,497
1104,630.206225,0.5518,638990.99,629.5026,630,497
1105,644.221931,0.5694,648478.1,643.5026,644,497
1106,658.237564,0.8755,621071.26,657.5026,658,497
1107,686.268893,0.6221,609850.5,685.5026,686,497
1108,700.284547,0.3683,631268.2,699.5026,700,497
1109,714.300251,0.2779,582958.54,713.5027,714,497
1110,516.288674,0.8734,783228.29,515.7122,516,288
1111,600.180467,0.4607,656519.19,599.5103,600,490
1112,614.196092,0.6403,673031.79,613.5103,614,490
1113,628.211812,0.5695,690468.21,627.5104,628,490
1114,642.227419,0.7241,669910.95,641.5103,642,490
1115,656.243037,0.8685,641304.62,655.5103,656,490
1116,684.274381,0.5485,628410.32,683.5104,684,490
1117,698.289955,0.3642,606341.53,697.5103,698,490
1118,306.022438,0.8673,1282985.09,305.6807,306,319
1119,496.001487,0.6459,813837.51,495.4477,496,-448
1120,510.017164,0.8593,826004.77,509.4477,510,-448
1121,538.048465,0.3674,813019,537.4477,538,-448
1122,444.144015,0.8496,941094.63,443.6481,444,352
1123,362.138479,0.844,963926.67,361.7341,362,266
1124,526.164769,0.4728,825798.16,525.5773,526,423
1125,540.180406,0.7859,755147.19,539.5773,540,423
1126,554.196092,0.8425,751889.34,553.5773,554,423
1127,582.227391,0.5679,733905.05,581.5773,582,423
1128,596.243213,0.4298,582338.66,595.5775,596,422
1129,349.943554,0.5898,1060911.81,349.5528,350,447
1130,363.95922,0.8394,925673.23,363.5528,364,447
1131,391.990527,0.402,1094203.13,391.5528,392,447
1132,562.164736,0.3193,755793.82,561.537,562,463
1133,576.180459,0.5092,768474.15,575.5371,576,463
1134,590.196099,0.7871,706092.88,589.5371,590,463
1135,604.211745,0.8348,710592.29,603.5371,604,463
1136,632.243045,0.6053,673946.07,631.5371,632,463
1137,646.258713,0.4426,675339.98,645.5371,646,463
1138,660.274371,0.3569,623348.11,659.5371,660,463
1139,674.290029,0.3019,649538.85,673.5371,674,463
1140,654.590119,0.8308,357468.72,653.8592,654,141
1141,302.076978,0.8303,1236552.11,301.7397,302,260
1142,586.033229,0.6909,685438.55,585.3789,586,-379
1143,600.048877,0.8294,717603.98,599.3789,600,-379
1144,628.080244,0.2742,691760.13,627.379,628,-379
1145,538.164746,0.5021,763657.85,537.5639,538,436
1146,552.180399,0.6319,717564.46,551.5639,552,436
1147,566.196054,0.7982,728130.96,565.5639,566,436
1148,580.211707,0.8271,749829.71,579.5639,580,436
1149,608.243049,0.5215,684593.1,607.5639,608,436
1150,622.258716,0.2966,535552.89,621.5639,622,436
1151,676.248135,0.8269,656102.92,675.4931,676,-493
1152,372.098396,0.8259,946785.94,371.6829,372,317
1153,420.159248,0.8259,923006.83,419.6901,420,310
1154,305.483443,0.8161,651547.16,305.1424,306,-142
1155,606.227405,0.8048,673737.54,605.5505,606,449
1156,366.112292,0.8005,923072.26,365.7035,366,296
1157,394.143589,0.4888,995516.32,393.7035,394,296
1158,408.159244,0.4891,964291.19,407.7035,408,296
1159,326.117358,0.7948,1163991.14,325.7532,326,247
1160,318.103079,0.7935,1243574.8,317.7479,318,252
1161,624.180442,0.2846,576953.21,623.4835,624,-484
1162,638.196118,0.4498,645880.79,637.4835,638,-484
1163,652.211756,0.6441,680960.26,651.4835,652,-484
1164,666.227414,0.7785,595240.43,665.4835,666,-484
1165,680.243051,0.7925,616926.54,679.4835,680,-484
1166,708.274414,0.6024,539132.35,707.4836,708,-484
1167,722.290031,0.5072,538180.37,721.4836,722,-484
1168,736.305669,0.3281,559807.64,735.4835,736,-484
1169,750.321219,0.2803,464896.53,749.4834,750,-484
1170,916.422463,0.7921,170412.58,915.3992,916,-399
1171,338.117357,0.7886,1071300.56,337.7398,338,260
1172,654.606984,0.7857,645548.95,653.8761,654,124
1173,354.087814,0.7812,1031992.12,353.6925,354,308
1174,396.134786,0.3755,968699.93,395.6925,396,307
1175,574.164771,0.3012,632256.35,573.5237,574,476
1176,588.180429,0.4381,716756.1,587.5237,588,476
1177,602.196066,0.7178,685452.17,601.5237,602,476
1178,616.211708,0.7803,682371.16,615.5237,616,476
1179,644.243033,0.7427,617533.5,643.5237,644,476
1180,658.258703,0.6462,673125.34,657.5237,658,476
1181,672.274429,0.4692,676692.94,671.5238,672,476
1182,686.290002,0.3245,680522.02,685.5237,686,476
1183,618.227389,0.7775,684479.25,617.5371,618,463
1184,572.053966,0.7769,743916.81,571.4152,572,-415
1185,632.18549,0.3115,687420.88,631.4796,632,-480
1186,646.201189,0.4614,637799.88,645.4797,646,-480
1187,660.216836,0.7481,634005.2,659.4797,660,-480
1188,674.23248,0.775,640097.66,673.4797,674,-480
1189,702.263772,0.637,584425.27,701.4797,702,-480
1190,716.279451,0.5295,589961.2,715.4797,716,-480
1191,730.295157,0.3852,569653.96,729.4797,730,-480
1192,744.310764,0.2981,518466.19,743.4797,744,-480
1193,260.085672,0.7716,1485680.93,259.7953,260,205
1194,630.227435,0.7698,672170.89,629.5238,630,476
1195,194.090391,0.767,2052941.58,193.8737,194,126
1196,368.059212,0.7669,981524.22,367.6483,368,352
1197,502.158877,0.4885,815310.88,501.5982,502,402
1198,516.174533,0.6477,776994.26,515.5982,516,402
1199,530.190194,0.7668,816841.67,529.5982,530,402
1200,558.221495,0.5939,703755.63,557.5982,558,402
1201,572.237146,0.4662,729431.43,571.5982,572,402
1202,586.252813,0.2888,657573.93,585.5982,586,402
1203,377.974878,0.7623,1065345.53,377.5528,378,447
1204,654.602337,0.7614,471204.53,653.8714,654,128
1205,514.164783,0.6077,783854.88,513.5907,514,409
1206,528.180399,0.6304,712949.34,527.5907,528,409
1207,542.196058,0.7579,738686.38,541.5907,542,409
1208,570.227378,0.3673,665872.78,569.5907,570,409
1209,214.080208,0.6926,1853263.81,213.8412,214,159
1210,228.09585,0.7574,1793283.87,227.8412,228,159
1211,350.111485,0.5353,1004157.56,349.7206,350,279
1212,364.127153,0.6457,1011711.22,363.7206,364,279
1213,378.142808,0.7568,997061.65,377.7206,378,279
1214,406.174113,0.687,998736.42,405.7206,406,279
1215,420.189759,0.4237,1011066.09,419.7206,420,279
1216,270.121667,0.7549,1501916.63,269.8201,270,180
1217,502.164738,0.5476,805610.58,501.604,502,396
1218,516.180401,0.7512,785906.82,515.6041,516,396
1219,544.211734,0.4399,736957.51,543.6041,544,396
1220,558.227359,0.3009,714407.17,557.6041,558,396
1221,572.243064,0.2896,782926.44,571.6041,572,396
1222,422.001102,0.7499,973703.76,421.5299,422,470
1223,190.02718,0.175,2108332.9,189.815,190,185
1224,204.042818,0.5358,2055393.82,203.815,204,185
1225,218.058466,0.7494,1776448.89,217.815,218,185
1226,288.077261,0.7481,1289472.79,287.7556,288,244
1227,350.048654,0.7446,1031561.99,349.6578,350,342
1228,414.064718,0.7435,949974.33,413.6024,414,398
1229,219.985676,0.6096,1850234.68,219.7401,220,260
1230,234.001317,0.7407,1729257.04,233.74,234,260
1231,694.258741,0.7336,629041.66,693.4836,694,-484
1232,420.122869,0.4036,983456.67,419.6538,420,346
1233,434.138516,0.6181,932849.18,433.6538,434,346
1234,448.15417,0.7297,952918.6,447.6538,448,346
1235,476.185472,0.6073,845478.2,475.6538,476,346
1236,488.185492,0.7295,815108.37,487.6404,488,360
1237,650.259276,0.7269,645739.78,649.5332,650,467
1238,688.248165,0.7226,596017.97,687.4797,688,-480
1239,350.11735,0.7209,1024814.97,349.7264,350,274
1240,568.21174,0.7187,719291.6,567.5773,568,423
1241,610.258653,0.2752,658597.01,609.5773,610,423
1242,643.970061,0.3838,663894.28,643.251,644,-251
1243,657.985653,0.6721,628439.94,657.251,658,-251
1244,672.001328,0.7138,646180.93,671.251,672,-251
1245,700.032643,0.2967,684097,699.251,700,-251
1246,584.05394,0.709,663505.95,583.4018,584,-402
1247,583.948906,0.4614,656770.23,583.2969,584,-297
1248,597.964539,0.7084,704346.54,597.2969,598,-297
1249,625.995765,0.4426,688372.5,625.2968,626,-297
1250,380.059228,0.7039,1047156.26,379.6349,380,365
1251,650.196135,0.4237,593281.84,649.4702,650,-470
1252,664.211752,0.5176,656545.15,663.4701,664,-470
1253,678.227436,0.7023,598781.38,677.4702,678,-470
1254,706.258718,0.6612,629262.7,705.4701,706,-470
1255,720.274374,0.6179,565017.56,719.4702,720,-470
1256,734.290038,0.511,535621.99,733.4702,734,-470
1257,748.305687,0.3734,557339.78,747.4702,748,-470
1258,762.321342,0.3251,551635.85,761.4702,762,-470
1259,442.059657,0.4181,946806.5,441.5661,442,434
1260,456.075301,0.6993,877814.11,455.5661,456,434
1261,611.980184,0.6937,722118.97,611.2969,612,-297
1262,544.169462,0.4664,726201.95,543.5619,544,438
1263,558.185084,0.6473,763683.13,557.5618,558,438
1264,572.200753,0.6502,748206.2,571.5619,572,438
1265,586.216433,0.6899,691295.9,585.5619,586,438
1266,614.247658,0.5248,742080.21,613.5618,614,438
1267,654.592303,0.6871,696465.1,653.8614,654,139
1268,332.087545,0.6867,1058977.05,331.7168,332,283
1269,242.1115,0.6859,1605746.67,241.8412,242,159
1270,408.119534,0.6847,951594.19,407.6638,408,336
1271,465.990921,0.4387,864335,465.4706,466,-471
1272,480.006589,0.6821,855751.37,479.4706,480,-471
1273,508.0378,0.4001,848520.16,507.4705,508,-471
1274,278.027521,0.6812,1333530.06,277.7171,278,283
1275,544.205837,0.6798,735622.77,543.5982,544,402
1276,692.243059,0.6792,622273.57,691.4701,692,-470
1277,426.133446,0.6791,929494.68,425.6576,426,342
1278,232.074107,0.6788,1739433.15,231.815,232,185
1279,670.258694,0.6773,651193.86,669.5103,670,490
1280,602.064548,0.677,719908.35,601.3923,602,-392
1281,594.227405,0.6718,732738.35,593.5639,594,436
1282,228.080595,0.6689,1762157.15,227.8259,228,174
1283,616.043792,0.5507,678440.22,615.3559,616,-356
1284,630.059431,0.6636,651172.89,629.3559,630,-356
1285,658.090862,0.2915,634380.96,657.3561,658,-356
1286,362.09811,0.6613,1006643.88,361.6938,362,306
1287,662.196175,0.2786,589246.94,661.4568,662,-457
1288,676.211755,0.4623,630405.41,675.4567,676,-457
1289,690.227442,0.4943,635755.62,689.4568,690,-457
1290,704.243071,0.5825,587503.85,703.4567,704,-457
1291,718.258686,0.6608,590957.37,717.4567,718,-457
1292,746.289974,0.5221,498741.64,745.4567,746,-457
1293,760.305652,0.4432,574135.22,759.4567,760,-457
1294,672.253212,0.6594,628315.91,671.5026,672,497
1295,390.108966,0.6589,893366.9,389.6734,390,327
1296,306.087156,0.6588,1267452.98,305.7454,306,255
1297,524.032809,0.6556,767591.73,523.4477,524,-448
1298,604.043807,0.3997,720890.43,603.3694,604,-369
1299,618.059467,0.6532,668379.06,617.3694,618,-369
1300,368.127938,0.6465,1014749.77,367.7169,368,283
1301,460.148303,0.4401,936179.44,459.6345,460,365
1302,474.163945,0.5843,869918.96,473.6345,474,365
1303,488.179628,0.5776,833121.57,487.6346,488,365
1304,502.195268,0.6449,853584.88,501.6345,502,365
1305,530.226573,0.4302,816968.59,529.6345,530,365
1306,614.06457,0.6435,706139.49,613.3789,614,-379
1307,392.158454,0.6402,965909.25,391.7206,392,279
1308,654.608559,0.6388,231441.61,653.8777,654,122
1309,673.98057,0.2784,582408.62,673.228,674,-228
1310,687.99622,0.5265,617489.39,687.228,688,-228
1311,702.011869,0.6365,622038.71,701.228,702,-228
1312,410.069805,0.6329,914457.69,409.6119,410,388
1313,406.119153,0.3748,975067.12,405.6657,406,334
1314,420.134793,0.6319,947139.24,419.6657,420,334
1315,613.959418,0.4299,718382.47,613.2739,614,-274
1316,627.975098,0.6311,657039.85,627.2739,628,-274
1317,656.006394,0.5656,635064.94,655.2739,656,-274
1318,554.043367,0.6297,733601.51,553.4247,554,-425
1319,408.122877,0.5268,974872.77,407.6672,408,333
1320,422.138524,0.629,948741.14,421.6672,422,333
1321,450.169792,0.5004,823092.65,449.6672,450,333
1322,284.082343,0.6217,1315347.93,283.7651,284,235
1323,462.169827,0.6161,861995.88,461.6538,462,346
1324,641.990719,0.6103,631034.86,641.2739,642,-274
1325,530.196068,0.6092,808615.94,529.6041,530,396
1326,586.180026,0.42,760386.88,585.5255,586,474
1327,600.195689,0.5558,642533.58,599.5255,600,474
1328,614.211332,0.5456,635386.65,613.5255,614,474
1329,628.227036,0.6092,662760.52,627.5256,628,474
1330,656.258272,0.5226,639727.31,655.5255,656,474
1331,670.27393,0.3664,600458.5,669.5255,670,474
1332,320.038091,0.6066,1198930.55,319.6808,320,319
1333,436.154161,0.6034,885099.49,435.6672,436,333
1334,213.441877,0.6018,2004389.29,213.2036,214,-204
1335,630.191042,0.2873,697110.6,629.4874,630,-487
1336,644.206572,0.3639,661895.34,643.4873,644,-487
1337,658.222205,0.4432,530704.45,657.4873,658,-487
1338,672.237983,0.5851,597991.31,671.4874,672,-487
1339,686.253633,0.5984,629895.63,685.4874,686,-487
1340,714.284942,0.3614,603174.24,713.4874,714,-487
1341,494.022224,0.598,823129.58,493.4706,494,-471
1342,486.08586,0.5974,828166.9,485.5431,486,457
1343,305.482644,0.5974,723268.88,305.1416,306,-142
1344,440.08038,0.595,901159.09,439.589,440,411
1345,600.232118,0.5923,667639.43,599.5619,600,438
1346,306.087814,0.5872,1169475.36,305.7461,306,254
1347,658.201264,0.3611,574751.18,657.4663,658,-466
1348,672.216834,0.5312,595506.67,671.4663,672,-466
1349,686.232492,0.5582,609530.91,685.4663,686,-466
1350,700.248175,0.5069,586487.56,699.4663,700,-466
1351,714.263829,0.5831,619195.65,713.4663,714,-466
1352,742.295098,0.383,630710.18,741.4663,742,-466
1353,756.310789,0.3025,563994.42,755.4663,756,-466
1354,618.191001,0.3454,660979.52,617.5008,618,499
1355,632.20672,0.4139,623639.86,631.5008,632,499
1356,646.222269,0.487,617553.02,645.5007,646,499
1357,660.237972,0.583,648345.88,659.5008,660,499
1358,688.269218,0.4065,585305.85,687.5007,688,499
1359,702.284938,0.2912,680659.07,701.5008,702,499
1360,716.300524,0.2775,600381.2,715.5007,716,499
1361,380.127912,0.574,943577.01,379.7035,380,296
1362,396.122864,0.5735,912342.93,395.6806,396,319
1363,424.154172,0.3618,996206.71,423.6806,424,319
1364,204.05948,0.5734,2008367.84,203.8316,204,168
1365,568.175299,0.3278,642818.91,567.5409,568,459
1366,582.191027,0.4451,689170.08,581.541,582,459
1367,596.206666,0.5646,668503.86,595.541,596,459
1368,610.222257,0.5695,649362.83,609.5409,610,459
1369,638.253612,0.2851,738873.32,637.541,638,459
1370,628.190563,0.2744,556610.16,627.4892,628,-489
1371,642.206225,0.4153,652704.12,641.4892,642,-489
1372,656.221942,0.5063,641857.52,655.4892,656,-489
1373,670.237556,0.5689,620741.66,669.4892,670,-489
1374,698.268879,0.415,595271.91,697.4892,698,-489
1375,712.284625,0.3164,608258.44,711.4893,712,-489
1376,726.300165,0.2864,539753.67,725.4892,726,-489
1377,646.054414,0.3652,685077.93,645.3331,646,-333
1378,660.07,0.5672,605742.31,659.333,660,-333
1379,688.101437,0.2784,697237.51,687.3331,688,-333
1380,732.274438,0.5672,595785.79,731.4568,732,-457
1381,674.253661,0.567,644223.6,673.5008,674,499
1382,774.153307,0.5644,419389.05,773.2889,774,-289
1383,696.274326,0.5633,566476.72,695.4969,696,-497
1384,656.206691,0.4073,632520.71,655.474,656,-474
1385,670.222378,0.4921,653859.13,669.474,670,-474
1386,684.237941,0.5632,604951.59,683.474,684,-474
1387,712.26927,0.4545,540566.76,711.474,712,-474
1388,726.284956,0.4938,645591.75,725.474,726,-474
1389,740.300609,0.2756,449809.97,739.474,740,-474
1390,754.316236,0.323,551816.26,753.474,754,-474
1391,182.07514,0.5585,2142657.73,181.8718,182,128
1392,674.196084,0.2759,526925.19,673.4433,674,-443
1393,688.211779,0.3348,614734.44,687.4434,688,-443
1394,702.227411,0.4761,571459.22,701.4433,702,-443
1395,716.243079,0.5473,560611.62,715.4434,716,-443
1396,730.2587,0.5336,564458.35,729.4433,730,-443
1397,744.274398,0.5564,561606.23,743.4434,744,-443
1398,772.30564,0.3892,554013.7,771.4433,772,-443
1399,916.417852,0.5562,311643.99,915.3946,916,-395
1400,410.138523,0.5547,905486.28,409.6806,410,319
1401,314.092906,0.5534,1201105.15,313.7422,314,258
1402,680.206656,0.318,583039.85,679.4472,680,-447
1403,694.222336,0.4003,565431.08,693.4472,694,-447
1404,708.237989,0.4307,542107.63,707.4472,708,-447
1405,722.253679,0.5515,563120.65,721.4472,722,-447
1406,750.284992,0.5206,567769.74,749.4473,750,-447
1407,764.300612,0.3439,502579.73,763.4472,764,-447
1408,778.316295,0.3019,522181.25,777.4473,778,-447
1409,398.069818,0.5497,996882.75,397.6254,398,375
1410,394.11914,0.4115,1098191.9,393.6791,394,321
1411,408.134805,0.548,961911.29,407.6791,408,321
1412,188.047915,0.4711,2113762.51,187.8379,188,162
1413,202.063555,0.548,2009337.62,201.8379,202,162
1414,322.116571,0.4586,1157770.57,321.7569,322,243
1415,336.132212,0.5469,1119856.06,335.7569,336,243
1416,553.938299,0.373,752161.63,553.3198,554,-320
1417,567.953985,0.5437,745418.49,567.3198,568,-320
1418,581.96959,0.546,759890.7,581.3198,582,-320
1419,356.127924,0.5442,972602.71,355.7303,356,270
1420,402.108972,0.5439,954624.99,401.66,402,340
1421,556.211762,0.5428,679975.89,555.5907,556,409
1422,183.953126,0.5424,2178195.24,183.7477,184,252
1423,880.359554,0.5401,367670.61,879.3766,880,-377
1424,668.206686,0.3863,671582.94,667.4606,668,-461
1425,682.222382,0.4498,588316.96,681.4606,682,-461
1426,696.237968,0.4905,615338.85,695.4606,696,-461
1427,710.253687,0.5372,578336.29,709.4607,710,-461
1428,738.284981,0.4408,542753.42,737.4606,738,-461
1429,752.300595,0.3266,560344.53,751.4606,752,-461
1430,320.1028,0.5368,1137287.26,319.7454,320,255
1431,686.016973,0.5348,615131.3,685.251,686,-251
1432,276.011877,0.4269,1270579.58,275.7037,276,296
1433,290.027528,0.5346,1181828.01,289.7037,290,296
1434,422.134524,0.5329,1027733.71,421.6632,422,337
1435,374.138487,0.532,901296.43,373.7207,374,279
1436,478.164735,0.5274,840047.84,477.6308,478,369
1437,305.483819,0.5255,322373.97,305.1427,306,-143
1438,184.069662,0.2225,1956967.64,183.8641,184,136
1439,198.085305,0.5254,2118417.5,197.8641,198,136
1440,226.116587,0.3099,1773737.67,225.8641,226,136
1441,596.287571,0.5245,712651,595.6218,596,378
1442,320.087551,0.5236,1176262.64,319.7302,320,270
1443,870.551861,0.5229,388448.17,869.5798,870,420
1444,308.103464,0.5191,1227511.11,307.7595,308,241
1445,516.210925,0.5182,778346.65,515.6345,516,365
1446,342.087798,0.5172,1086753.34,341.7058,342,294
1447,684.253177,0.5168,566970.95,683.4892,684,-489
1448,212.100945,0.5159,1930631.86,211.8641,212,136
1449,350.098093,0.5158,1083333.23,349.7072,350,293
1450,418.137715,0.396,1039716.16,417.6708,418,329
1451,432.153378,0.4994,966925.38,431.6709,432,329
1452,446.169043,0.5157,926099.61,445.6709,446,329
1453,758.289995,0.5155,572945.14,757.4433,758,-443
1454,366.124221,0.515,973722.14,365.7154,366,285
1455,412.064318,0.4608,995864.3,411.6042,412,396
1456,426.079955,0.515,923827.24,425.6042,426,396
1457,370.053773,0.5132,1050461.42,369.6406,370,359
1458,642.242681,0.5127,666669.43,641.5256,642,474
1459,674.085675,0.5108,554571.26,673.333,674,-333
1460,580.175325,0.3102,692032.84,579.5275,580,472
1461,594.191005,0.4719,678074.62,593.5276,594,472
1462,608.206665,0.4906,659273.27,607.5276,608,472
1463,622.222269,0.5105,635823.3,621.5275,622,472
1464,650.253579,0.4864,665450.17,649.5275,650,472
1465,420.119559,0.5102,957611.41,419.6505,420,349
1466,606.190986,0.4227,651221.92,605.5141,606,486
1467,620.206723,0.425,670080,619.5142,620,486
1468,634.222325,0.5027,663993.56,633.5142,634,486
1469,648.237933,0.5099,626156.94,647.5141,648,486
1470,676.269358,0.3453,633448.34,675.5143,676,486
1471,906.536073,0.5085,197705.5,905.5239,906,476
1472,644.075125,0.5073,714877.72,643.356,644,-356
1473,266.096241,0.5072,1419008.32,265.7991,266,201
1474,920.234788,0.5046,340439.73,919.2073,920,-207
1475,230.058452,0.4276,1906579.38,229.8016,230,198
1476,244.074104,0.5006,1573128.13,243.8016,244,198
1477,248.085675,0.5004,1623001.31,247.8087,248,191
1478,698.253621,0.5002,595346.62,697.474,698,-474
1479,449.996018,0.4984,917750.07,449.4936,450,-494
1480,374.098095,0.4984,974208.44,373.6804,374,320
1481,662.253684,0.497,638037.7,661.5142,662,486
1482,736.738944,0.4969,308929.59,735.9163,736,84
1483,728.27945,0.4963,560626.87,727.4663,728,-466
1484,706.222318,0.3979,629221.81,705.4338,706,-434
1485,720.237969,0.4275,570415.14,719.4338,720,-434
1486,734.253637,0.4363,576717.34,733.4338,734,-434
1487,748.269312,0.4867,563899.2,747.4338,748,-434
1488,762.284992,0.4958,593467.84,761.4339,762,-434
1489,790.316433,0.2928,553514.66,789.434,790,-434
1490,490.164733,0.4958,813844.66,489.6174,490,383
1491,518.196061,0.4846,756968.57,517.6175,518,382
1492,716.027625,0.4955,578365.1,715.2281,716,-228
1493,718.00685,0.3877,611060.04,717.2052,718,-205
1494,732.022465,0.4946,578284.63,731.2051,732,-205
1495,736.725948,0.4925,511947.02,735.9034,736,97
1496,424.064321,0.4382,925311.71,423.5908,424,409
1497,438.079984,0.4185,929088.37,437.5908,438,409
1498,452.095643,0.4923,946236.06,451.5909,452,409
1499,748.017431,0.3892,588640.16,747.1822,748,-182
1500,762.033088,0.4916,482762.45,761.1822,762,-182
1501,732.237978,0.3732,617363.06,731.4204,732,-420
1502,746.253676,0.48,566782.03,745.4204,746,-421
1503,760.269241,0.4904,557780.67,759.4204,760,-420
1504,788.300642,0.3122,570666.76,787.4205,788,-421
1505,832.286221,0.4877,466272.46,831.3569,832,-357
1506,380.108706,0.4874,935287.84,379.6843,380,316
1507,934.309054,0.487,175023.97,933.2658,934,-266
1508,290.09291,0.4847,1312257.36,289.769,290,231
1509,700.26936,0.483,585233.54,699.4875,700,-488
1510,356.087541,0.4827,1020627.79,355.69,356,310
1511,504.180423,0.4816,707937.34,503.6175,504,382
1512,510.101107,0.4514,791506.19,509.5316,510,468
1513,524.116782,0.4118,752246.44,523.5316,524,468
1514,538.132431,0.4785,777923.75,537.5316,538,468
1515,636.238002,0.4785,653417.2,635.5276,636,472
1516,810.174631,0.4756,398471.4,809.27,810,-270
1517,366.108941,0.4751,901592.61,365.7002,366,300
1518,438.130102,0.4729,983387.12,437.6409,438,359
1519,724.269312,0.4725,584786.02,723.4606,724,-461
1520,948.848209,0.4721,308014.96,947.7888,948,211
1521,595.985255,0.4713,561165.59,595.3198,596,-320
1522,606.618541,0.4708,297798.47,605.9412,606,59
1523,956.304329,0.469,470767.25,955.2366,956,-237
1524,404.139857,0.469,947604.94,403.6886,404,311
1525,176.047919,0.3289,1990163.7,175.8514,176,149
1526,190.063562,0.4674,1970656.06,189.8513,190,149
1527,520.001492,0.4673,734407.81,519.4209,520,-421
1528,548.032828,0.291,704394.57,547.4209,548,-421
1529,562.04845,0.313,745731.4,561.4209,562,-421
1530,272.069023,0.4057,1356411.43,271.7652,272,235
1531,286.084675,0.4658,1284781.23,285.7652,286,235
1532,948.873688,0.4641,223142.83,947.8142,948,186
1533,648.069984,0.4639,622538.65,647.3464,648,-346
1534,400.064325,0.461,1054428.37,399.6176,400,382
1535,428.095663,0.362,1046529.98,427.6177,428,382
1536,570.190986,0.4275,716163.64,569.5543,570,446
1537,584.206626,0.4605,659794.74,583.5543,584,446
1538,612.237964,0.3584,694332.18,611.5544,612,446
1539,714.227463,0.298,549035.25,713.43,714,-430
1540,728.243054,0.3767,571936.24,727.4299,728,-430
1541,742.258704,0.4585,564239.79,741.4299,742,-430
1542,770.290012,0.3752,544783.66,769.4299,770,-430
1543,784.305607,0.3085,486650.94,783.4299,784,-430
1544,798.321386,0.283,492798.76,797.43,798,-430
1545,414.079983,0.4585,1014712.03,413.6176,414,382
1546,378.124226,0.458,1012767.87,377.702,378,298
1547,880.351044,0.4533,271584.15,879.3681,880,-368
1548,450.079953,0.4526,964948.44,449.5774,450,423
1549,478.111293,0.3726,880390.74,477.5775,478,422
1550,516.111694,0.3772,844523.47,515.5354,516,465
1551,530.127373,0.4525,774588.12,529.5355,530,464
1552,278.108168,0.4523,1371598.15,277.7976,278,202
1553,470.090946,0.4517,898078.87,469.5661,470,434
1554,544.175348,0.298,814060.19,543.5677,544,432
1555,558.190993,0.3837,807386.8,557.5677,558,432
1556,572.206666,0.4512,740479.44,571.5678,572,432
1557,600.237938,0.3292,707523.08,599.5677,600,432
1558,236.085673,0.4492,1631675.08,235.8221,236,178
1559,653.777505,0.4479,561231.32,653.0475,654,-48
1560,484.085444,0.3799,866639.13,483.5449,484,455
1561,498.101129,0.4393,843280.67,497.545,498,455
1562,512.116825,0.4476,808250.43,511.545,512,455
1563,920.224333,0.4473,432836.86,919.1969,920,-197
1564,454.07488,0.3948,912750.45,453.5679,454,432
1565,468.090544,0.4471,853951.32,467.5679,468,432
1566,496.121865,0.3547,831601.45,495.5679,496,432
1567,282.12166,0.4465,1323152.77,281.8067,282,193
1568,422.150447,0.4459,926529.78,421.6791,422,321
1569,632.075142,0.4448,657196.88,631.3694,632,-369
1570,746.038147,0.4447,528313.06,745.2052,746,-205
1571,466.074918,0.3599,872645.2,465.5545,466,445
1572,480.090546,0.409,816699.24,479.5545,480,445
1573,494.106232,0.4432,840099.87,493.5545,494,445
1574,832.254052,0.443,358401.25,831.3248,832,-325
1575,736.269306,0.4427,515514.68,735.4472,736,-447
1576,474.154553,0.4425,889657.9,473.6251,474,375
1577,508.121875,0.4402,842067.63,507.5545,508,445
1578,598.222304,0.4402,661232.39,597.5544,598,446
1579,686.217241,0.2902,625840.27,685.451,686,-451
1580,700.232873,0.3056,624550.78,699.451,700,-451
1581,714.248608,0.413,590995.09,713.4511,714,-451
1582,728.264202,0.4394,630213.32,727.4511,728,-451
