Mass,Formula,Isomers,BS,MS,,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,,,,ADG/Beilstein,ADG/NIST,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,Nominal Mass,ADG Number of Isomers,% MOD,%BS,%NIST
144,C4O6,932,1,0,,,,,,,,,,,,,,,,,,,,,
144,C5H4O5,85857,12,0,,,,,,,,,,,,,,,,,,,,,
144,C6H8O4,224720,259,21,,,,,,,,,,,,,,,,,,,,,
144,C7H12O3,105625,1064,49,,,,,,,,,,,,,,,,,,,,,
144,C8O3,71079,0,0,,,,,,,,,,,,,,,,,,,,,
144,C8H16O2,13190,1062,91,,,,,,,,,,,,,,,,,,,,,
144,C9H4O2,5541857,2,0,,,,,,,,,,,,,,,,,,,,,
144,C9H20O,405,175,48,,,,,,,,,,,,,,,,,,,,,
144,C10H8O,9693195,84,8,,,,,,,,,,,,,,,,,,,,,
144,C11H12,2135717,324,22,,,,,,,,,,,,,,,,,,,,,
144,C12,171886,0,0,,,,,,,,,,,,,,,,,,,,,
146,H2O9,1,0,0,,,,,,,,,,,,,,,,,,,,,
146,C4H2O6,9986,1,0,,,,,,,,,,,,,,,,,,,,,
146,C5H6O5,95870,28,2,,,,,,,,,,,,,,,,,,,,,
146,C6H10O4,97394,345,25,,,,,,,,,,,,,,,,,,,,,
146,C7H14O3,22151,672,36,,,,,,,,,,,,,,,,,,,,,
146,C8H2O3,1187784,2,0,,,,,,,,,,,,,,,,,,,,,
146,C8H18O2,1225,334,28,,,,,,,,,,,,,,,,,,,,,
146,C9H6O2,9660231,45,4,,,,,,,,,,,,,,,,,,,,,
146,C10H10O,7288733,421,34,,,,,,,,,,,,,,,,,,,,,
146,C11H14,950064,450,52,,,,,,,,,,,,,,,,,,,,,
146,C12H2,3571212,1,0,,,,,,,,,,,,,,,,,,,,,
148,C3O7,217,0,0,,,,,,,,,,,,,,,,,,,,,
148,C4H4O6,21975,3,1,,,,,,,,,,,,,,,,,,,,,
148,C5H8O5,56687,52,4,,,,,,,,,,,,,,,,,,,,,
148,C6H12O4,24562,267,16,,,,,,,,,,,,,,,,,,,,,
148,C7O4,42867,0,0,,,,,,,,,,,,,,,,,,,,,
148,C7H16O3,2275,192,15,,,,,,,,,,,,,,,,,,,,,
148,C8H4O3,4161969,7,2,,,,,,,,,,,,,,,,,,,,,
148,C9H8O2,9990575,255,25,,,,,,,,,,,,,,,,,,,,,
148,C10H12O,3916111,892,90,,,,,,,,,,,,,,,,,,,,,
148,C11O,455822,0,0,,,,,,,,,,,,,,,,,,,,,
148,C11H16,323512,682,57,,,,,,,,,,,,,,,,,,,,,
148,C12H4,16079924,0,0,,,,,,,,,,,,,,,,,,,,,
150,C3H2O7,2113,0,0,,,,,,,,,,,,,,,,,,,,,
150,C4H6O6,20050,7,1,,,,,,,,,,,,,,,,,,,,,
150,C5H10O5,18092,34,3,,,,,,,,,,,,,,,,,,,,,
150,C6H14O4,2922,61,5,,,,,,,,,,,,,,,,,,,,,
150,C7H2O4,674033,0,0,,,,,,,,,,,,,,,,,,,,,
150,C8H6O3,6717404,90,7,,,,,,,,,,,,,,,,,,,,,
150,C9H10O2,6843602,667,71,,,,,,,,,,,,,,,,,,,,,
150,C10H14O,1548361,1938,150,,,,,,,,,,,,,,,,,,,,,
150,C11H2O,9414509,0,0,,,,,,,,,,,,,,,,,,,,,
150,C11H18,84051,762,49,,,,,,,,,,,,,,,,,,,,,
150,C12H6,34030905,12,0,,,,,,,,,,,,,,,,,,,,,
