Mass,Formula,Isomers,BS,MS,,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,,,,ADG/Beilstein,ADG/NIST,Nominal Mass,MolGen Isomers,Beilstein,NIST MS Database,,Nominal Mass,ADG Number of Isomers,% MOD,%BS,%NIST
64,C4O,7,0,0,,110,36289,999,143,,,,,0.00601,0.04196,110,36289,999,143,,110,6,0.00017,0.02753,0.00394
64,C5H4,40,8,0,,112,57233,1325,225,,,,,0.0234,0.13778,112,57233,1325,225,,112,31,0.00054,0.02315,0.00393
66,H2O4,1,0,0,,114,95974,1150,209,,,,,0.07304,0.40191,114,95974,1150,209,,114,84,0.00088,0.01198,0.00218
66,C4H2O,36,2,0,,116,147223,836,128,,,,,0.11364,0.74219,116,147223,836,128,,116,95,0.00065,0.00568,0.00087
66,C5H6,40,20,4,,118,194676,545,86,,,,,0.12294,0.77907,118,194676,545,86,,118,67,0.00034,0.0028,0.00044
68,C3O2,7,1,1,,120,227345,691,67,,,,,0.02605,0.26866,120,227345,691,67,,120,18,0.00008,0.00304,0.00029
68,C4H4O,62,19,2,,122,286287,1227,95,,,,,0.00163,0.02105,122,286287,1227,95,,122,2,6.986E-06,0.00429,0.00033
68,C5H8,26,25,16,,124,445855,2037,192,,,,,0,0,124,445855,2037,192,,,,0,0.00457,0.00043
70,C3H2O2,34,5,1,,126,749961,2578,245,,,,,0.05431,0.57143,126,749961,2578,245,,126,140,0.00019,0.00344,0.00033
70,C4H6O,55,34,15,,128,1180550,2247,283,,,,,0.12995,1.0318,128,1180550,2247,283,,128,292,0.00025,0.0019,0.00024
70,C5H10,10,10,10,,130,1615446,1698,196,,,,,0.15253,1.32143,130,1615446,1698,196,,130,259,0.00016,0.00105,0.00012
72,C2O3,5,1,0,,132,1951288,1296,139,,,,,0.14352,1.33813,132,1951288,1296,139,,132,186,0.0001,0.00066,0.00007
72,C3H4O2,52,15,4,,134,2460651,1352,145,,,,,0.04882,0.45517,134,2460651,1352,145,,134,66,0.00003,0.00055,0.00006
72,C4H8O,26,26,17,,136,3797225,2336,273,,,,,0.00385,0.03297,136,3797225,2336,273,,136,9,2.37015E-06,0.00062,0.00007
72,C5H12,3,3,3,,138,6406446,3657,303,,,,,0.0041,0.0495,138,6406446,3657,303,,138,15,2.34139E-06,0.00057,0.00005
72,C6,19,0,0,,140,10292400,4408,338,,,,,0.02223,0.28994,140,10292400,4408,338,,140,98,9.52159E-06,0.00043,0.00003
74,C2H2O3,20,2,1,,142,14498259,3902,290,,,,,0.10712,1.44138,142,14498259,3902,290,,142,418,0.00003,0.00027,0.00002
74,C3H6O2,34,21,7,,144,18044479,2983,239,,,,,0.31143,3.88703,144,18044479,2983,239,,144,929,0.00005,0.00017,0.00001
74,C4H10O,7,7,7,,146,22884651,2299,181,,,,,0.29404,3.73481,146,22884651,2299,181,,146,676,0.00003,0.0001,7.90923E-06
74,C6H2,85,1,0,,148,35076496,2350,210,,,,,0.10596,1.18571,148,35076496,2350,210,,148,249,7.09877E-06,0.00007,5.98691E-06
76,CO4,2,0,0,,150,59356042,3571,286,,,,,0.01232,0.15385,150,59356042,3571,286,,150,44,7.41289E-07,0.00006,4.81838E-06
76,C2H4O3,22,9,1,,,179923318,47614,5307,,,,,0.08153,0.73149,,179923318,47614,5307,,,3882,0.00216,8.15306,73.14867
76,C3H8O2,11,11,5,,,,,,,,,,,,,,,,,,,,,
76,C5O,21,0,0,,,,,,,,,,,,,,,,,,,,,
76,C6H4,185,6,0,,,,,,,,,,,,,,,,,,,,,
78,CH2O4,6,0,0,,,,,,,,,,,,,,,,,,,,,
78,C2H6O3,10,8,0,,,,,,,,,,,,,,,,,,,,,
78,C5H2O,151,2,0,,,,,,,,,,,,,,,,,,,,,
78,C6H6,217,29,5,,,,,,,,,,,,,,,,,,,,,
80,O5,1,0,0,,,,,,,,,,,,,,,,,,,,,
80,CH4O4,5,1,0,,,,,,76,241,26,6,,,,,,,,,,,,
80,C4O2,28,0,0,,,,,,78,384,39,5,,,,,,,,,,,,
80,C5H4O,318,14,0,,,,,,80,511,86,18,,,,,,,,,,,,
80,C6H8,159,71,18,,,,,,82,578,136,42,,,,,,,,,,,,
82,H2O5,1,0,0,,,,,,84,597,164,58,,,,,,,,,,,,
82,C4H2O2,163,4,0,,,,,,86,796,144,65,,,,,,,,,,,,
82,C5H6O,337,63,9,,,,,,88,1303,93,41,,,,,,,,,,,,
82,C6H10,77,69,33,,,,,,90,2139,65,22,,,,,,,,,,,,
84,C3O3,16,0,0,,,,,,92,3030,117,15,,,,,,,,,,,,
84,C4H4O2,301,29,5,,,,,,,,,,,,,,,,,,,,,
84,C5H8O,205,110,31,,,,,,,,,,,,,,,,,,,,,
84,C6H12,25,25,22,,,,,,,,,,,,,,,,,,,,,
84,C7,50,0,0,,,,,,,,,,,,,,,,,,,,,
86,C3H2O3,98,4,1,,,,,,,,,,,,,,,,,,,,,
86,C4H6O2,263,61,15,,,,,,,,,,,,,,,,,,,,,
86,C5H10O,74,74,44,,,,,,,,,,,,,,,,,,,,,
86,C6H14,5,5,5,,,,,,,,,,,,,,,,,,,,,
86,C7H2,356,0,0,,,,,,,,,,,,,,,,,,,,,
88,C2O4,10,2,0,,,,,,,,,,,,,,,,,,,,,
88,C3H4O3,152,15,4,,,,,,,,,,,,,,,,,,,,,
88,C4H8O2,122,59,23,,,,,,,,,,,,,,,,,,,,,
88,C5H12O,14,14,14,,,,,,,,,,,,,,,,,,,,,
88,C6O,85,0,0,,,,,,,,,,,,,,,,,,,,,
88,C7H4,920,3,0,,,,,,,,,,,,,,,,,,,,,
90,C2H2O4,41,2,1,,,,,,,,,,,,,,,,,,,,,
90,C3H6O3,102,20,8,,,,,,,,,,,,,,,,,,,,,
90,C4H10O2,28,26,12,,,,,,,,,,,,,,,,,,,,,
90,C6H2O,738,0,0,,,,,,,,,,,,,,,,,,,,,
90,C7H6,1230,17,1,,,,,,,,,,,,,,,,,,,,,
92,CO5,2,0,0,,,,,,,,,,,,,,,,,,,,,
92,C2H4O4,48,5,0,,,,,,,,,,,,,,,,,,,,,
92,C3H8O3,28,15,1,,,,,,,,,,,,,,,,,,,,,
92,C5O2,98,1,0,,,,,,,,,,,,,,,,,,,,,
92,C6H4O,1823,15,1,,,,,,,,,,,,,,,,,,,,,
92,C7H8,1031,81,13,,,,,,,,,,,,,,,,,,,,,
94,CH2O5,9,1,0,,,,,,,,,,,,,,,,,,,,,
94,C2H6O4,20,5,0,,,,,,,,,,,,,,,,,,,,,
94,C5H2O2,812,1,0,,,,,,,,,,,,,,,,,,,,,
94,C6H6O,2237,65,3,,,,,,,,,,,,,,,,,,,,,
94,C7H10,575,183,27,,,,,,,,,,,,,,,,,,,,,
96,O6,1,0,0,,,,,,,,,,,,,,,,,,,,,
96,CH4O5,6,1,0,,,,,,,,,,,,,,,,,,,,,
96,C4O3,72,0,0,,,,,,,,,,,,,,,,,,,,,
96,C5H4O2,1821,22,6,,,,,,,,,,,,,,,,,,,,,
96,C6H8O,1623,217,22,,,,,,,,,,,,,,,,,,,,,
96,C7H12,222,153,59,,,,,,,,,,,,,,,,,,,,,
96,C8,204,0,0,,,,,,,,,,,,,,,,,,,,,
98,H2O6,1,0,0,,,,,,,,,,,,,,,,,,,,,
98,C4H2O3,551,5,1,,,,,,,,,,,,,,,,,,,,,
98,C5H6O2,1938,112,21,,,,,,,,,,,,,,,,,,,,,
98,C6H10O,747,349,83,,,,,,,,,,,,,,,,,,,,,
98,C7H14,56,55,38,,,,,,,,,,,,,,,,,,,,,
98,C8H2,1804,1,0,,,,,,,,,,,,,,,,,,,,,
100,C3O4,36,0,0,,,,,,,,,,,,,,,,,,,,,
100,C4H4O3,1073,29,5,,,,,,,,,,,,,,,,,,,,,
100,C5H8O2,1168,206,42,,,,,,,,,,,,,,,,,,,,,
100,C6H12O,211,188,79,,,,,,,,,,,,,,,,,,,,,
100,C7O,356,0,0,,,,,,,,,,,,,,,,,,,,,
100,C7H16,9,9,9,,,,,,,,,,,,,,,,,,,,,
100,C8H4,5308,0,0,,,,,,,,,,,,,,,,,,,,,
102,C3H2O4,246,3,1,,,,,,,,,,,,,,,,,,,,,
102,C4H6O3,949,68,7,,,,,,,,,,,,,,,,,,,,,
102,C5H10O2,400,181,41,,,,,,94,3078,72,3,,,,,,,,,,,,
102,C6H14O,32,32,32,,,,,,96,3949,393,87,,,,,,,,,,,,
102,C7H2O,3971,0,0,,,,,,98,5097,522,143,,,,,,,,,,,,
102,C8H6,7982,20,1,,,,,,100,8161,432,135,,,,,,,,,,,,
104,C2O5,14,0,0,,,,,,102,13580,304,82,,,,,,,,,,,,
104,C3H4O4,401,12,1,,,,,,104,20137,252,47,,,,,,,,,,,,
104,C4H8O3,425,74,17,,,,,,106,25544,332,32,,,,,,,,,,,,
104,C5H12O2,69,58,25,,,,,,108,28678,646,92,,,,,,,,,,,,
104,C6O2,459,0,0,,,,,,110,36289,999,143,,,,,,,,,,,,
104,C7H4O,11332,6,0,,,,,,,,,,,,,,,,,,,,,
104,C8H8,7437,102,4,,,,,,,,,,,,,,,,,,,,,
106,C2H2O5,74,2,0,,,,,,,,,,,,,,,,,,,,,
106,C3H6O4,263,14,1,,,,,,,,,,,,,,,,,,,,,
106,C4H10O3,88,31,5,,,,,,,,,,,,,,,,,,,,,
106,C6H2O2,4636,2,0,,,,,,,,,,,,,,,,,,,,,
106,C7H6O,15804,34,6,,,,,,,,,,,,,,,,,,,,,
106,C8H10,4679,249,20,,,,,,,,,,,,,,,,,,,,,
108,CO6,3,0,0,,,,,,,,,,,,,,,,,,,,,
108,C2H4O5,88,0,0,,,,,,,,,,,,,,,,,,,,,
108,C3H8O4,71,10,0,,,,,,,,,,,,,,,,,,,,,
108,C5O3,327,0,0,,,,,,,,,,,,,,,,,,,,,
108,C6H4O2,12098,16,1,,,,,,,,,,,,,,,,,,,,,
108,C7H8O,13177,194,15,,,,,,,,,,,,,,,,,,,,,
108,C8H12,2082,426,76,,,,,,,,,,,,,,,,,,,,,
108,C9,832,0,0,,,,,,,,,,,,,,,,,,,,,
110,CH2O6,12,0,0,,,,,,,,,,,,,,,,,,,,,
110,C2H6O5,35,1,0,,,,,,,,,,,,,,,,,,,,,
110,C5H2O3,3292,1,0,,,,,,,,,,,,,,,,,,,,,
110,C6H6O2,15066,104,9,,,,,,,,,,,,,,,,,,,,,
110,C7H10O,7166,590,50,,,,,,,,,,,,,,,,,,,,,
110,C8H14,654,303,84,,,,,,,,,,,,,,,,,,,,,
110,C9H2,10064,0,0,,,,,,,,,,,,,,,,,,,,,
112,O7,1,0,0,,,,,,,,,,,,,,,,,,,,,
112,CH4O6,9,0,0,,,,,,,,,,,,,,,,,,,,,
112,C4O4,194,1,0,,,,,,,,,,,,,,,,,,,,,
112,C5H4O3,7744,36,7,,,,,,,,,,,,,,,,,,,,,
112,C6H8O2,10893,389,43,,,,,,,,,,,,,,,,,,,,,
112,C7H12O,2589,782,96,,,,,,,,,,,,,,,,,,,,,
112,C8O,1804,0,0,,,,,,,,,,,,,,,,,,,,,
112,C8H16,139,115,79,,,,,,,,,,,,,,,,,,,,,
112,C9H4,33860,2,0,,,,,,,,,,,,,,,,,,,,,
114,H2O7,1,0,0,,,,,,,,,,,,,,,,,,,,,
114,C4H2O4,1635,8,2,,,,,,,,,,,,,,,,,,,,,
114,C5H6O3,8397,129,10,,,,,,,,,,,,,,,,,,,,,
114,C6H10O2,4869,597,91,,,,,,,,,,,,,,,,,,,,,
114,C7H14O,596,397,88,,,,,,,,,,,,,,,,,,,,,
114,C8H2O,24021,0,0,,,,,,,,,,,,,,,,,,,,,
114,C8H18,18,18,18,,,,,,,,,,,,,,,,,,,,,
114,C9H6,56437,1,0,,,,,,,,,,,,,,,,,,,,,
116,C3O5,68,0,0,,,,,,,,,,,,,,,,,,,,,
116,C4H4O4,3328,19,3,,,,,,,,,,,,,,,,,,,,,
116,C5H8O3,4986,232,16,,,,,,,,,,,,,,,,,,,,,
116,C6H12O2,1313,472,61,,,,,,,,,,,,,,,,,,,,,
116,C7O2,2254,1,0,,,,,,,,,,,,,,,,,,,,,
116,C7H16O,72,67,41,,,,,,,,,,,,,,,,,,,,,
116,C8H4O,77431,6,0,,,,,,,,,,,,,,,,,,,,,
116,C9H8,57771,39,7,,,,,,,,,,,,,,,,,,,,,
118,C3H2O5,547,2,0,,,,,,,,,,,,,,,,,,,,,
118,C4H6O4,2958,36,6,,,,,,112,57233,1325,225,,,,,,,,,,,,
118,C5H10O3,1656,197,23,,,,,,114,95974,1150,209,,,,,,,,,,,,
118,C6H14O2,179,129,37,,,,,,116,147223,836,128,,,,,,,,,,,,
118,C7H2O2,28770,0,0,,,,,,118,194676,545,86,,,,,,,,,,,,
118,C8H6O,120427,24,3,,,,,,120,227345,691,67,,,,,,,,,,,,
118,C9H10,40139,157,17,,,,,,122,286287,1227,95,,,,,,,,,,,,
120,C2O6,23,0,0,,,,,,124,445855,2037,192,,,,,,,,,,,,
120,C3H4O5,915,3,1,,,,,,,,,,,,,,,,,,,,,
120,C4H8O4,1310,48,2,,,,,,,,,,,,,,,,,,,,,
120,C5H12O3,258,73,10,,,,,,,,,,,,,,,,,,,,,
120,C6O3,1796,0,0,,,,,,,,,,,,,,,,,,,,,
120,C7H4O2,86246,8,0,,,,,,,,,,,,,,,,,,,,,
120,C8H8O,112484,144,14,,,,,,,,,,,,,,,,,,,,,
120,C9H12,19983,415,40,,,,,,,,,,,,,,,,,,,,,
120,C10,4330,0,0,,,,,,,,,,,,,,,,,,,,,
122,C2H2O6,127,2,0,,,,,,,,,,,,,,,,,,,,,
122,C3H6O5,608,1,0,,,,,,,,,,,,,,,,,,,,,
122,C4H10O4,255,21,1,,,,,,,,,,,,,,,,,,,,,
122,C6H2O3,21641,1,0,,,,,,,,,,,,,,,,,,,,,
122,C7H6O2,122391,69,7,,,,,,,,,,,,,,,,,,,,,
122,C8H10O,69669,553,40,,,,,,,,,,,,,,,,,,,,,
122,C9H14,7244,579,47,,,,,,,,,,,,,,,,,,,,,
122,C10H2,64352,1,0,,,,,,,,,,,,,,,,,,,,,
124,CO7,3,0,0,,,,,,,,,,,,,,,,,,,,,
124,C2H4O6,157,0,0,,,,,,,,,,,,,,,,,,,,,
124,C3H8O5,154,2,0,,,,,,,,,,,,,,,,,,,,,
124,C5O4,1015,0,0,,,,,,,,,,,,,,,,,,,,,
124,C6H4O3,59327,27,1,,,,,,,,,,,,,,,,,,,,,
124,C7H8O2,102139,318,23,,,,,,,,,,,,,,,,,,,,,
124,C8H12O,29797,1257,78,,,,,,,,,,,,,,,,,,,,,
124,C9O,10064,0,0,,,,,,,,,,,,,,,,,,,,,
124,C9H16,1902,431,90,,,,,,,,,,,,,,,,,,,,,
124,C10H4,241297,2,0,,,,,,,,,,,,,,,,,,,,,
126,CH2O7,16,0,0,,,,,,,,,,,,,,,,,,,,,
126,C2H6O6,61,1,0,,,,,,,,,,,,,,,,,,,,,
126,C5H2O4,11291,0,0,,,,,,,,,,,,,,,,,,,,,
126,C6H6O3,75331,140,18,,,,,,,,,,,,,,,,,,,,,
126,C7H10O2,54641,909,51,,,,,,,,,,,,,,,,,,,,,
126,C8H14O,8796,1347,113,,,,,,,,,,,,,,,,,,,,,
126,C9H2O,160114,0,0,,,,,,,,,,,,,,,,,,,,,
126,C9H18,338,165,62,,,,,,,,,,,,,,,,,,,,,
126,C10H6,439373,16,1,,,,,,,,,,,,,,,,,,,,,
128,O8,1,0,0,,,,,,,,,,,,,,,,,,,,,
128,CH4O7,11,0,0,,,,,,,,,,,,,,,,,,,,,
128,C4O5,429,0,0,,,,,,,,,,,,,,,,,,,,,
128,C5H4O4,27721,25,0,,,,,,,,,,,,,,,,,,,,,
128,C6H8O3,54343,379,23,,,,,,,,,,,,,,,,,,,,,
