There were 3704 Peaks found from m/z=   106.72    to m/z=   983.50.
NEGATIVE ION MODE
Noise threshold: 0.012182        Peak threshold: 0.017403

Calibration parameters: A = 144217945.493776 , B = -350102700.706502 and Trap Plate Voltage = -1.000000
Center of Mass for the Assigned Window is   391.7691

 There were ,1168 odd peaks, and ,2536 even peaks

Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula
      37, 380.127924,  0.0283, 1069391.51,  379.7035,  380,   1, -12, 296,  26, 4.0,,O11 13C1 ,,C,14,H,23,,,O,11,,,,,13C,1, ,,,,,,,,,,
      38, 394.143567,  0.1878, 1035583.04,  393.7035,  394,   1, -12, 296,  26, 4.0,,O11 13C1 ,,C,15,H,25,,,O,11,,,,,13C,1, ,,,,,,,,,,
      39, 491.947063,  0.1877,  824970.99,  491.3978,  492,   1, -13,-398,  27, 0.0,,,No Hit
      40, 224.064541,  0.1876, 1729618.63,  223.8144,  224,   1, -14, 186,  28, 0.0,,,No Hit
      41, 296.107612,  0.1821, 1407685.81,  295.7770,  296,   1, -12, 223,  29, 0.0,,,No Hit
      42, 326.075090,  0.1812, 1245890.14,  325.7110,  326,   1, -10, 289,  30,12.0,,O6 13C1 ,*,C,17,H,13,,,O,6,,,,,13C,1, ,,,,,,,,,,
      43, 354.106389,  0.0297, 1139216.17,  353.7110,  354,   1, -10, 289,  30,12.0,,O6 13C1 ,*,C,19,H,17,,,O,6,,,,,13C,1, ,,,,,,,,,,
      44, 368.122039,  0.0325, 1138069.15,  367.7110,  368,   1, -10, 289,  30,12.0,,O6 13C1 ,*,C,20,H,19,,,O,6,,,,,13C,1, ,,,,,,,,,,
      45, 342.070001,  0.1805, 1176928.37,  341.6881,  342,   1,  -8, 312,  31,12.0,,O7 13C1 ,*,C,17,H,13,,,O,7,,,,,13C,1, ,,,,,,,,,,
      46, 370.101312,  0.0466, 1081425.70,  369.6881,  370,   1,  -8, 312,  31,12.0,,O7 13C1 ,*,C,19,H,17,,,O,7,,,,,13C,1, ,,,,,,,,,,
      47, 384.116956,  0.0502, 1062010.52,  383.6881,  384,   1,  -8, 312,  31,12.0,,O7 13C1 ,*,C,20,H,19,,,O,7,,,,,13C,1, ,,,,,,,,,,
      48, 398.132614,  0.0436, 1021461.70,  397.6881,  398,   1,  -8, 312,  31,12.0,,O7 13C1 ,*,C,21,H,21,,,O,7,,,,,13C,1, ,,,,,,,,,,
      49, 296.109705,  0.1762, 1352735.17,  295.7791,  296,   1, -12, 221,  32, 0.0,,,No Hit
      50, 440.149036,  0.1750,  912183.75,  439.6576,  440,   1,  -8, 342,  33, 0.0,,,No Hit
      51, 316.090738,  0.1750, 1295748.03,  315.7378,  316,   1,  -6, 262,  34, 0.0,,,No Hit
      52, 669.843413,  0.1683,  581168.56,  669.0955,  670,   1,  -3, -96,  35, 0.0,,,No Hit
      53, 346.064915,  0.0557, 1204049.15,  345.6785,  346,   1,  -4, 321,  36,11.0,,O8 13C1 ,*,C,16,H,13,,,O,8,,,,,13C,1, ,,,,,,,,,,
      54, 360.080572,  0.1682, 1127930.95,  359.6785,  360,   1,  -4, 321,  36,11.0,,O8 13C1 ,*,C,17,H,15,,,O,8,,,,,13C,1, ,,,,,,,,,,
