There were 3241 Peaks found from m/z=   137.59    to m/z=  1101.74.
NEGATIVE ION MODE
Noise threshold: 0.010337        Peak threshold: 0.014767

Calibration parameters: A = 144217942.213457 , B = -319661632.416391 and Trap Plate Voltage = -1.000000
Center of Mass for the Assigned Window is   471.5064

 There were ,1028 odd peaks, and ,2213 even peaks

Peak Number,Mass,Rel. Abundance,RP,Kendrick Mass,Nom. Mass,Odd/Even,Nom. Z,KMD,Series Fit,DBE,Group,,Molecular Formula
      29, 208.054394,  0.3750, 1955172.41,  207.8221,  208,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,6,H,11,,,O,7,,,,,13C,1, ,,,,,,,,,,
      30, 222.070040,  0.8730, 1829587.32,  221.8221,  222,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,7,H,13,,,O,7,,,,,13C,1, ,,,,,,,,,,
      31, 404.273473,  0.2706, 1053037.32,  403.8221,  404,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,20,H,39,,,O,7,,,,,13C,1, ,,,,,,,,,,
      32, 418.289137,  6.2958,  990001.72,  417.8221,  418,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,21,H,41,,,O,7,,,,,13C,1, ,,,,,,,,,,
      33, 432.304776,  0.4628,  936177.46,  431.8221,  432,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,22,H,43,,,O,7,,,,,13C,1, ,,,,,,,,,,
      34, 446.320434,  6.6657,  914139.17,  445.8221,  446,   1,  -2, 178,   9, 2.0,,O7 13C1 ,,C,23,H,45,,,O,7,,,,,13C,1, ,,,,,,,,,,
      35, 256.236316,  3.2605, 1604909.63,  255.9502,  256,   1, -10,  50,  10, 0.0,,,No Hit
      36, 284.267615,  6.3263, 1448884.97,  283.9502,  284,   1, -10,  50,  10, 0.0,,,No Hit
      37, 486.154535,  6.1839,  832546.16,  485.6117,  486,   1,  -4, 388,  11, 0.0,,,No Hit
      38, 666.217985,  6.1708,  626845.83,  665.4741,  666,   1,  -7,-474,  12, 0.0,,,No Hit
      39, 402.133400,  6.0154, 1022326.27,  401.6844,  402,   1,  -4, 316,  13, 0.0,,,No Hit
      40, 412.117747,  0.7352, 1015951.18,  411.6576,  412,   1,  -8, 342,  14, 4.0,,O13 13C1 ,,C,14,H,23,,,O,13,,,,,13C,1, ,,,,,,,,,,
      41, 426.133402,  0.3786,  999605.70,  425.6576,  426,   1,  -8, 342,  14, 4.0,,O13 13C1 ,,C,15,H,25,,,O,13,,,,,13C,1, ,,,,,,,,,,
      42, 440.149042,  5.9582,  938174.61,  439.6576,  440,   1,  -8, 342,  14, 4.0,,O13 13C1 ,,C,16,H,27,,,O,13,,,,,13C,1, ,,,,,,,,,,
      43, 550.170591,  5.6734,  726444.13,  549.5563,  550,   1, -10, 444,  15, 3.0,,O18 13C1 ,*,C,18,H,33,,,O,18,,,,,13C,1, ,,,,,,,,,,
      44, 760.405479,  0.4997,  522573.00,  759.5564,  760,   1, -10, 443,  15, 3.0,,O18 13C1 ,*,C,33,H,63,,,O,18,,,,,13C,1, ,,,,,,,,,,
      45, 788.436803,  0.4608,  580772.17,  787.5565,  788,   1, -10, 443,  15, 3.0,,O18 13C1 ,*,C,35,H,67,,,O,18,,,,,13C,1, ,,,,,,,,,,
      46, 564.186248,  5.4813,  699173.97,  563.5563,  564,   1, -10, 444,  16, 0.0,,,No Hit
      47, 396.218009,  5.1534, 1039380.91,  395.7756,  396,   1, -10, 224,  17,10.0,,N1 O4 ,,C,24,H,30,N,1,O,4,,,,,,,,,,,,,,,,,
