generation_formed,score,smiles_str
2,11.380216363188694,C(C(CC=O)O)(O)=O
2,11.357106932741473,C(C(C)=O)(O)=O
2,11.356842643883894,CC1(C(C(C(CO)O1)O)O)O
2,11.323035641875933,C(C(C(CO)O)O)=CC=O
2,11.315941569697927,C(C(CCO)=O)(O)=O
2,11.312976449099253,C(C(C(C=CC=O)O)O)(O)=O
2,11.312976449099253,C(C1(C(C(CC1O)O)O)O)(O)=O
2,11.297617738437722,C(C(C=CC(CO)=O)O)(O)=O
2,11.286194547382067,C(C(CC(CO)=O)O)(O)=O
2,11.223949545365642,C(C(C1C(CC(O)O1)O)O)O
2,11.223949545365642,C(C1C(C(CC(O)O1)O)O)O
2,11.223927405034075,C(C1C(CC(CO)(O1)O)O)(O)=O
2,11.213890352588962,C(C(C1C(CC(O)O1)O)O)(O)=O
2,11.213890352588962,C(C1C(C(CC(O1)O)O)O)(O)=O
2,11.204257256653975,C(C1C(C(C(C)(O1)O)O)O)(O)=O
2,11.167409243830363,C(C(C(C(C=C)=O)O)O)(O)=O
2,11.14761794668145,C(C=CC(C(CO)O)=O)(O)=O
1,11.106754794204491,C(C(C(C(CCO)O)O)O)=O
1,11.106754794204491,C(CC(C(C(C=O)O)O)O)(O)=O
2,11.104489506524871,C(C(C(C=CCO)=O)O)(O)=O
2,11.084073553630034,C(C(CO)O)=CC(C(O)=O)=O
2,11.074766697664629,C(CC1(C(C(CO1)O)O)O)(O)=O
2,11.04026577745087,C(C(C1(CC(CO1)O)O)O)(O)=O
2,11.022433149930905,C(C1(CC(C(CO)O1)O)O)(O)=O
2,11.022433149930905,C(C1(CC(C(CO1)O)O)O)(O)=O
2,11.018943081912468,C(CC(C=O)O)(O)=O
2,10.88689984690852,C(CC(CC(C=O)O)=O)(O)=O
2,10.886899830144714,C(CC(C=O)O)(CCO)=O
2,10.867190239322255,C(CC(C(CC(O)=O)O)=O)=O
2,10.867190222558449,C(CC(C(CCO)O)=O)=O
2,10.790583170438069,C(C(C(CC(CO)O)O)O)=O
2,10.790583170438069,C(C(CC(C(C=O)O)O)O)(O)=O
0,10.785656690550852,C1C(C(C(C(C(O)O1)O)O)O)O
2,10.733790952083538,C(C(C(CCC(O)=O)=O)O)=O
2,10.733790935319732,C(C(C(CCCO)=O)O)=O
2,10.72646963160939,C(C(C(C=CC(O)=O)O)O)=O
2,10.726469614845584,C(C(C(C=CCO)O)O)=O
2,10.724874642048846,C(CC(CC(C=O)=O)O)(O)=O
2,10.72487462528504,C(C(CC(CCO)O)=O)=O
2,10.700331365992199,C(CC1C(C(C(O)O1)O)O)(O)=O
2,10.700331349228392,C(CC1C(C(C(O)O1)O)O)O
1,10.556685940548661,C(C(CC(C(CO)=O)O)O)=O
0,10.374262250098283,C(C(C1C(C(C(O)O1)O)O)O)O
2,10.352989986026543,CCO
2,10.352989986026543,C(C)(O)=O
0,10.3495405475375,C(C1C(C(C(C(O)O1)O)O)O)O
2,10.001989106135326,C(C(C(CO)O)(C(CO)O)O)O
2,9.83189449780609,C(C1(C(C(CC1O)O)O)O)O
2,9.732808401295799,C(C1C(C(C(C1O)O)O)O)O
2,9.732808401295799,C(C1C(C(C(C1O)O)O)O)(O)=O
2,9.385342454840313,C(C(CO)O)(C(C(C)=O)O)=O
2,9.327887694653938,C(C(C(CO)O)=O)(CCO)=O
1,9.17810014211561,C(C(C(C(CCO)O)=O)O)=O
1,9.048433308442938,C(C(C(C=O)O)O)(C(C)O)=O
2,8.933814182365197,C1C(C(C(C(CO)O)(O)O1)O)O
1,8.763761104037869,C(C(C(CC(CO)O)O)=O)=O
1,8.718756037368323,C(C)=O
2,8.542376145091723,C(C(CO)(C(CO)O)O)=O
1,8.490647337934817,C(C(CC(C(CO)O)O)O)(O)=O
2,8.306350051844376,C(C(C(C(CCO)O)O)=O)=O
2,8.292233514087158,C(C(C(C(C(C)O)O)=O)O)=O
2,8.273514601820963,C(C(CC(C(C)=O)O)O)(O)=O
2,8.246708927163738,C(CC(C(O)=O)O)(CCO)=O
2,8.237302133301156,C(C(CCC(CO)=O)O)(O)=O
2,8.232512389728683,C(CC(CC(C(O)=O)O)O)=O
2,8.170079160435009,C(C(C=CC(CO)O)O)(O)=O
1,8.087618191912654,C(C(C(C(C)=O)O)O)=O
2,8.03684044403478,C(C(C(CC(CO)O)O)O)(O)=O
2,7.780134161538329,C(C(CCO)O)(O)=O
2,7.760940666845884,C(C(C)O)(O)=O
2,7.712201568600606,C(C1(C(C(C(C1O)O)O)O)O)O
2,7.590703822276439,C(C(CCO)(CC=O)O)(O)=O
2,7.583167620538618,C1(C(C(C(C(C1O)O)O)O)O)O
2,7.573396196192946,C(C(C)(CC(C=O)O)O)(O)=O
2,7.5519355047260195,C(C(C(C=C(CO)O)O)O)=O
2,7.551721355481889,C(C(CO)(CC(CO)O)O)(O)=O
2,7.531329484260525,C(C(C=C(C(CO)O)O)O)=O
2,7.530463923769887,C(C(C(C(C(O)=C)O)O)O)=O
2,7.529850830859389,C(CO)(O)=CC(C(CO)O)=O
2,7.529850830859389,C(C(C(CO)O)O)(O)=CC=O
2,7.499406922212686,C(C(C(C(O)=CCO)O)O)=O
2,7.487907287734445,C(C(C(O)=CC(CO)O)O)=O
1,7.36224192376237,C(C=O)=O
2,7.097840647515725,C(CO)(C(CO)C(C(CO)O)O)=O
2,7.019680074718665,C(C(CO)O)(CC(C(CO)O)O)=O
2,6.99701462623186,C(C(C(C(CO)O)O)O)(CCO)=O
2,6.9188540534348,C(C)(C(CO)(C(C(CO)O)O)O)=O
2,6.448911150288652,C(C(C(C(C(C(C)=O)O)O)O)O)=O
1,6.2606812298296735,C(CC(CO)=O)=O
2,6.122577115264606,C(C(C(C(CC(CO)=O)O)O)O)=O
1,6.11395580421656,C(CC(C=O)O)=O
1,6.057332127424773,C1(C(C(C(C(CO)O)O1)O)O)=O
2,5.7867378958732605,C(C(CO)(C(CC(CO)=O)O)O)=O
1,5.743540852516774,C(CO)(CO)=O
2,5.719066317495774,C(C(CO)(C(C(CC=O)O)O)O)=O
1,5.608122423011694,C1(C(C(C(C(CO)O1)O)O)O)=O
1,5.608122423011694,C(C(C1C(C(C(O)(O)O1)O)O)O)O
1,5.608122423011694,C(C1C(C(C(C(O)(O)O1)O)O)O)O
1,5.608122423011694,C1C(C(C(C(C(O)(O)O1)O)O)O)O
2,5.579969237861108,C(C(CO)(C(C(C(C)=O)O)O)O)=O
1,5.461590224364657,C(C(C(C=O)O)O)=O
1,5.441093343612622,C(C(CCO)=O)=O
1,5.410123820602778,C(CC(CC(CO)=O)=O)=O
2,5.402894693729352,C(C(CO)(C(CC(C=O)O)O)O)=O
2,5.33318951686367,C(C(C(CO)(C)O)O)=O
2,5.318643060815405,C(C(C(CO)C(C(CO)O)O)=O)=O
2,5.295677542057704,C(C(C(C(C(CO)=O)CO)O)O)=O
2,5.283814930776018,C(CO)(C(C(CO)O)O)=O
2,5.25366021629877,C(C(C(C(C=O)O)O)O)(CCO)=O
2,5.217516944114934,C(C(CO)O)(CC(C(C=O)O)O)=O
2,5.175499618356,C(C(C(C(C(C)=O)(CO)O)O)O)=O
2,5.073155525559444,C(C(CO)O)(CCO)=O
2,4.991011853865232,C(C(C(CO)(CCO)O)O)=O
2,4.991011853865232,C(CO)(C(CO)C(CO)O)=O
1,4.989448559423793,C(C(C)=O)=O
2,4.91285125871643,C(C(C(C)(C(CO)O)O)O)=O
2,4.91285125871643,C(C)(C(CO)(C(CO)O)O)=O
1,4.8492562187135935,C(CO)(C(CC(CO)=O)O)=O
1,4.839948102435913,C(C(C(CO)O)(C(CO)O)O)=O
2,4.602791377063725,C(CO)(C(CO)C(C=O)O)=O
1,4.575105720502209,C(CC(CC(C=O)O)=O)=O
2,4.570710362237762,C(C(C(C(CCO)=O)O)O)(C)=O
2,4.488847210607376,C(C(C(CO)(C(CO)O)O)O)=O
2,4.488847210607376,C(CO)(C(CO)(C(CO)O)O)=O
1,4.326136895757984,C(CC(C(CC=O)O)=O)=O
