count_incoming,exact_mass,generation_formed,smiles_str
2,164.068,2,C(C(C(C)O)O)(C(CO)O)=O
2,164.068,2,C(CC(CO)(C(CO)O)O)=O
2,194.079,2,C(C(C(CO)(C)O)O)(C(CO)O)=O
2,194.079,2,C(C)(C(C(CO)(C(CO)O)O)O)=O
2,194.079,2,C(CO)(CC(CO)(C(CO)O)O)=O
2,150.053,2,C(C(CO)O)(C(CO)O)=O
2,178.048,2,C(C(C(C=O)O)O)(C(CO)O)=O
2,192.063,2,C(C(C)(C(C(C(CO)O)=O)O)O)=O
2,192.063,2,C(C(CC(CO)(C(CO)O)O)=O)=O
2,162.053,2,C1C2C(CC(C(O)O1)(O)O2)O
2,162.053,2,C(C1C2CC(C(O)O2)(O)O1)O
2,162.053,2,C1C2C(C(CC(O)O2)(O)O1)O
2,162.053,2,C1C(C2C(CC(O)O2)(O)O1)O
2,118.027,2,C1(C(C(CO1)O)O)=O
2,144.042,2,C(CC1(CC(CO1)=O)O)=O
2,144.042,2,C(CC1(C(CCO1)=O)O)=O
2,192.063,2,C(C(CO)C1(C(C(CO1)O)O)O)=O
2,192.063,2,C(C(CO)(C1(CC(CO1)O)O)O)=O
2,162.053,2,C1C2CC(C(C(O)O2)O)(O)O1
2,162.053,2,C(CO)(C1(CC(CO1)O)O)=O
2,102.032,2,C1(CC(CO1)O)=O
2,192.063,2,C(C1(CO)C(CC(CO)(O1)O)O)=O
2,162.053,2,C1C2(CC(C(C(O)O1)O2)O)O
2,192.063,2,C(C1(CO)C(C(C(C)(O1)O)O)O)=O
2,162.053,2,CC1(C2C(C(C(O)O2)O1)O)O
2,144.042,2,C1(CC(C=O)OC1(C)O)=O
2,144.042,2,C(C1C(CC(C)(O1)O)=O)=O
2,192.063,2,C(C(CO)(C1C(CC(O)O1)O)O)=O
2,162.053,2,C1(CC2C(C(C(O)O2)O)O1)O
2,162.053,2,C(CO)(C1C(CC(O1)O)O)=O
2,102.032,2,C1(C(O)OCC1)=O
2,162.053,2,C1(C(CO)OC(CO)(C1)O)=O
2,162.053,2,C1(C(CO)(O)OC(CO)C1)=O
2,162.053,2,C1C2C(CC(C(O)O2)(O)O1)O
2,162.053,2,C1C(C2CC(C(O)O2)(O)O1)O
2,144.042,2,C(C1(CCC(CO1)=O)O)=O
2,144.042,2,C1(CC(C=O)(O)OCC1)=O
2,192.063,2,C(C1(CO)C(C(CC(O1)O)O)O)=O
2,162.053,2,C1(C2C(C(CC(O)O2)O1)O)O
2,144.042,2,C1(CC(C=O)OC(C1)O)=O
2,144.042,2,C(C1C(CCC(O1)O)=O)=O
2,162.053,2,C1(COC(CO)(C(C1)O)O)=O
2,162.053,2,C1(C(C(CO)(O)OCC1)O)=O
2,162.053,2,C1(C(COC(CO)(C1)O)O)=O
2,162.053,2,C1(C(CO)(O)OCC(C1)O)=O
2,144.042,2,C1C(C(C(C=1)=O)(CO)O)O
2,144.042,2,C1(CC(C(C1CO)=O)O)=O
2,144.042,2,C(C1(C(C=CC1O)O)O)=O
2,144.042,2,C(C1(C(CC(C1)=O)O)O)=O
2,144.042,2,C(C1C(C(CC1O)O)=O)=O
2,178.048,2,C(C1C2C(C(C(O)(O2)O1)O)O)O
2,160.037,2,C(CC1C(C(C(O1)=O)O)O)=O
2,160.037,2,C1(C(C(C(C(C)=O)O1)O)O)=O
2,160.037,2,C1(CC(C(C(CO)O)O1)=O)=O
2,160.037,2,C1(C(CC(C(CO)O)O1)=O)=O
2,178.048,1,C1(C(C(C(C(CO)O)O1)O)O)=O
2,160.037,2,C1(CC(C(OC1CO)=O)O)=O
2,160.037,2,C1(C(C(CC(CO)O1)=O)O)=O
2,160.037,2,C1(CC(C(C(CO)O1)O)=O)=O
2,160.037,2,C1(C(CC(C(CO)O1)O)=O)=O
2,178.048,2,C(CC1C(C(C(O)(O)O1)O)O)=O
2,178.048,2,C(C)(C1C(C(C(O1)(O)O)O)O)=O
2,178.048,2,C1(C(C(CO)O)OC(C1)(O)O)=O
2,178.048,2,C1(C(O)(O)OC(C(CO)O)C1)=O
2,178.048,2,C1(C(CO)OC(C(C1)O)(O)O)=O
2,178.048,2,C1(C(C(O)(O)OC(CO)C1)O)=O
2,178.048,2,C1(C(C(CO)OC(C1)(O)O)O)=O
2,178.048,2,C1(C(O)(O)OC(CO)C(C1)O)=O
2,178.048,2,C1(COC(C(C(C1)O)O)(O)O)=O
2,178.048,2,C1(C(C(C(O)(O)OCC1)O)O)=O
2,178.048,2,C1(C(COC(C(C1)O)(O)O)O)=O
2,178.048,2,C1(C(C(O)(O)OCC(C1)O)O)=O
2,178.048,2,C1(C(C(COC(C1)(O)O)O)O)=O
2,178.048,2,C1(C(O)(O)OCC(C(C1)O)O)=O
2,194.079,2,C(C(CO)(C(C(CCO)O)O)O)=O
2,166.048,2,C(C(C(CO)(CO)O)O)(O)=O
2,150.053,2,C(C(C(CO)(C)O)O)(O)=O
2,180.063,2,C(C(C(CO)(CCO)O)O)(O)=O
2,180.063,2,C(C(C(C)(C(CO)O)O)O)(O)=O
2,178.048,2,C(C(C(C)(C(C=O)O)O)O)(O)=O
2,178.048,2,C(CC(CO)(C(C(O)=O)O)O)=O
2,120.042,2,C(C(C(C)O)O)(O)=O
2,194.043,2,C(C(C(C(C(C=O)O)O)O)O)(O)=O
2,164.032,2,C(C(C(C(C=O)O)O)O)(O)=O
2,166.048,2,C(C(C(C(CO)O)O)O)(O)=O
2,180.063,2,C(C(C(CO)O)(C(C)O)O)(O)=O
2,166.048,2,C(C(CO)(C(CO)O)O)(O)=O
2,162.053,2,C(C(C(C=C(CO)O)O)O)=O
2,162.053,2,C(C(C=C(C(CO)O)O)O)=O
2,162.053,2,C(C(C(C(C(O)=C)O)O)O)=O
2,162.053,2,C(C(C(CO)O)O)(O)=CC=O
2,162.053,2,C(CO)(O)=CC(C(CO)O)=O
2,162.053,2,C(C(C(C(O)=CCO)O)O)=O
2,162.053,2,C(C(C(O)=CC(CO)O)O)=O
2,180.063,2,C1(C(C(C(C(C1O)O)O)O)O)O
2,180.063,2,C(C(C(CC(CO)O)O)O)(O)=O
2,180.063,1,C(C(CC(C(CO)O)O)O)(O)=O
2,162.053,2,C(C(CCO)(CC=O)O)(O)=O
2,162.053,2,C(C(C)(CC(C=O)O)O)(O)=O
2,120.042,2,C(C(CCO)O)(O)=O
2,180.063,2,C(C(CO)(CC(CO)O)O)(O)=O
2,90.032,2,C(C(C)O)(O)=O
2,162.053,1,C1(C(O)OCC(C(C1)O)O)=O
2,162.053,1,C1(C(O)OC(CO)C(C1)O)=O
2,162.053,1,C1(C(O)OC(C(CO)O)C1)=O
2,144.042,1,C(C(CO)O)=CC(C=O)=O
2,144.042,1,C(CC(CC(C=O)=O)O)=O
2,144.042,1,C(CO)(CCC(C=O)=O)=O
2,144.042,1,C(CCO)(CC(C=O)=O)=O
2,192.063,2,C(CC(C(CO)(C(CO)O)O)=O)=O
2,192.063,2,C(C(C(C(C(CO)O)O)=O)CO)=O
2,162.053,1,C1(C(C(COC(C1)O)O)O)=O
2,162.053,1,C1(C(C(CO)OC(C1)O)O)=O
2,162.053,1,C1(C(C(CO)O)OC(C1)O)=O
2,144.042,1,C(CC(C(C(C)=O)O)=O)=O
2,144.042,1,C(CC(C(CCO)=O)=O)=O
2,192.063,2,C(C(C(C(CO)C(CO)O)=O)O)=O
2,162.053,1,C1(C(C(O)OCC(C1)O)O)=O
2,162.053,1,C1(C(C(O)OC(CO)C1)O)=O
2,162.053,1,C(C(CO)=O)(CC(CO)O)=O
2,144.042,1,C(C(C(C=CCO)=O)O)=O
2,144.042,1,C(C(C(CCC=O)=O)O)=O
2,144.042,1,C(C(C=O)O)(CC(C)=O)=O
2,192.063,2,C(CC(C=O)O)(C(CO)(CO)O)=O
2,192.063,2,C(C(CO)(CC(C(CO)O)=O)O)=O
2,192.063,2,C(C(CO)C(C=O)O)(C(CO)O)=O
2,162.053,1,C1(C(COC(C(C1)O)O)O)=O
2,162.053,1,C1(C(CO)OC(C(C1)O)O)=O
2,144.042,1,C(C=CC(C(CO)O)=O)=O
2,144.042,1,C(C(CC(C(C)=O)=O)O)=O
2,192.063,2,C(C(CO)(C(C=O)O)O)(CCO)=O
2,192.063,2,C(C(CO)(C(C(CCO)=O)O)O)=O
2,192.063,2,C(C(C(C=O)O)O)(C(CO)CO)=O
2,162.053,1,C1(C(C(C(O)OCC1)O)O)=O
2,162.053,1,C(CCO)(C(C(CO)=O)O)=O
2,162.053,1,C1(COC(C(C(C1)O)O)O)=O
2,88.016,1,C(C(C=O)O)=O
2,144.042,1,C(C(C=CC(CO)=O)O)=O
2,162.053,1,C1(C(C(C(C(C1)O)O)O)O)=O
2,162.053,1,C(C)(C1C(C(C(O1)O)O)O)=O
2,192.063,2,C(C(CO)C(C(C(C=O)O)O)O)=O
2,162.053,1,C(CC1C(C(C(O)O1)O)O)=O
2,178.048,2,C(C(C(CO)O)(C(C=O)O)O)=O
2,192.063,2,C(C)(C(C(CO)O)(C(C=O)O)O)=O
2,192.063,2,C(C(C(CO)O)(C(C(C)=O)O)O)=O
2,192.063,2,C(C(C(CO)O)(CC(CO)=O)O)=O
2,164.068,2,C(C)(C(CO)(C(CO)O)O)=O
2,150.053,2,C(C(C(CO)(CO)O)O)=O
2,104.047,2,C(C(C(C)O)O)=O
2,178.048,2,C(C(C(C(C(C=O)O)O)O)O)=O
2,180.063,1,C(C(C(CO)O)(C(CO)O)O)=O
2,162.053,2,C(C(CCO)(C(C=O)O)O)=O
2,162.053,2,C(C(C(CO)C(CO)O)=O)=O
2,162.053,2,C(CC(CO)(C(C=O)O)O)=O
2,162.053,2,C(C(C(C)(C(C=O)O)O)O)=O
2,162.053,2,C(C(C(CO)O)C(C=O)O)=O
2,132.042,2,C(C(C)(C(C=O)O)O)=O
2,164.068,2,C(C(C(C)(C(CO)O)O)O)=O
2,192.063,2,C(C(CC(CO)(C(C=O)O)O)O)=O
2,192.063,2,C(CO)(C(C(CO)O)C(C=O)O)=O
2,192.063,2,C(CC(C=O)O)(C(C(CO)O)O)=O
2,164.068,2,C(C(C(CO)(CCO)O)O)=O
2,164.068,2,C(CO)(C(CO)C(CO)O)=O
2,192.063,2,C(C(C(C(C)(C(C=O)O)O)O)O)=O
2,192.063,2,C(C(C(C=O)O)O)(CC(CO)O)=O
2,148.037,2,C(C(C(C(C=O)O)O)O)=O
2,134.058,2,C(C(C(CO)(C)O)O)=O
2,194.079,2,C(C(C(CO)O)(C(CO)(C)O)O)=O
2,164.068,2,C(C(C(CO)O)(C(C)O)O)=O
2,194.079,2,C(C)(C(C(C(C(CO)O)O)O)O)=O
2,194.079,2,C(CO)(CC(C(C(CO)O)O)O)=O
2,192.063,2,C(C(CC(C(C(CO)O)O)O)=O)=O
2,162.053,1,C1(CC(C(C(CO)O1)O)O)=O
2,144.042,2,C1(C(CC(C1CO)O)=O)=O
2,144.042,2,C1(C(CO)C(C(C1)=O)O)=O
2,192.063,2,C1(CC(C(C(C1(CO)O)O)O)O)=O
2,162.053,2,C1(C(C(C(CC1O)O)O)O)=O
2,144.042,2,C1C(C(C(C(C=1)=O)O)O)O
2,144.042,2,C1(C(CC(C(C1)O)O)=O)=O
2,144.042,2,C1(CCC(C(C1O)O)=O)=O
2,144.042,2,C1(CC(C(CC1O)=O)O)=O
2,144.042,2,C1(CC(CC(C1O)=O)O)=O
2,192.063,2,C1(C(C(C(C(C1CO)O)O)O)O)=O
2,144.042,2,C(C1C(C(C(C1)=O)O)O)=O
2,162.053,2,C1(C(CC(C(CO)O1)O)O)=O
2,162.053,2,C1(C(CC(C(CO)O)O1)O)=O
2,114.032,2,C(C)(CC(C=O)=O)=O
2,126.032,2,C=CC(CC(C=O)=O)=O
2,188.068,2,C(CC(CCO)(CC(C=O)=O)O)=O
2,188.068,2,C(CC(C=O)(CC=O)O)(CCO)=O
2,188.068,2,C(CC(C(CC(CCO)=O)=O)O)=O
2,188.068,2,C(C(CO)C(C)O)(CC(C=O)=O)=O
2,188.068,2,C(CCO)(C(C(C=O)=O)C(C)O)=O
2,174.053,2,C(C(CO)CO)(CC(C=O)=O)=O
2,174.053,2,C(CCO)(C(C(C=O)=O)CO)=O
2,188.068,2,C(CC(CCC(C=O)=O)(CO)O)=O
